時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,225,228,221,222,238.5,240.45,237.85,256.05,251.72,251.95,237.85,223.75,1567,992,954,25,2441,25,0,1.83%,225,57337,716,491,42.90%,-2,2236,33,35,1.67%,3874,57,74,17,0,11.59%,241.33,233.39,0.44,11987,17513,-5526,246.4,199,4.01,4.01,11.86%,12.48%
2021/9/30,224.5,227,222.5,223.5,233.6,239,237.65,255.94,251.72,252.43,237.65,222.87,829,1041,920,17,2110,17,0,1.58%,-129,57117,466,595,42.74%,3,2238,14,11,1.67%,3873,-1,19,20,0,11.59%,241.08,236.23,0.42,12194,17186,-4992,246.22,94,1.81,1.81,12.44%,12.46%
2021/10/1,223.5,223.5,223.5,223.5,228.3,237.55,237.05,255.85,251.74,253.06,237.05,221.04,0,906,870,0,2110,0,0,1.58%,0,57117,0,0,42.74%,0,2238,0,0,1.67%,3872,-1,0,0,1,11.59%,241.2,235.55,0.41,12100,18183,-6083,246.22,19,0.42,1.81,13.50%,12.98%
2021/10/4,245.5,245.5,245.5,245.5,228.8,238.1,237.55,255.88,251.85,253.95,237.55,221.15,1227,1010,955,-90,2020,0,90,1.51%,84,57286,181,97,42.86%,-22,2216,12,34,1.66%,3831,-41,112,152,1,11.46%,242.34,238.78,0.18,12265,18200,-5935,246.22,-44,-0.87,-0.87,13.81%,13.40%
2021/10/5,245,248,229,244.5,231.8,237.7,237.95,255.89,251.95,254.62,237.95,221.28,4145,1554,1199,39,2059,53,14,1.54%,-932,56339,794,1726,42.15%,-8,2208,12,20,1.65%,3643,-188,75,263,0,10.90%,242.24,238.85,0.8,12618,18127,-5509,246.06,-9,-0.12,-0.12,14.01%,13.70%
2021/10/6,248,252,243.5,247.5,236.9,237.7,238.78,255.9,252.08,255.62,238.78,221.93,1943,1629,1311,15,2074,15,0,1.55%,269,56504,763,494,42.28%,40,2248,69,29,1.68%,3631,-12,85,97,0,10.86%,242.34,238.88,0.71,12642,18125,-5483,246.07,-19,-0.23,-0.23,14.11%,13.90%
2021/10/7,250,254.5,246,254.5,243.1,238.35,239.8,255.95,252.23,257.81,239.8,221.79,1926,1848,1445,18,2092,18,0,1.57%,121,56472,522,401,42.25%,34,2282,37,3,1.71%,3697,66,167,86,15,11.06%,242.49,241.83,0.54,12949,17293,-4344,246.12,-18,-0.19,-0.19,15.02%,14.46%
2021/10/8,256,258,252.5,255.5,249.5,238.9,240.6,256.01,252.41,259.86,240.6,221.34,1099,2068,1487,-35,2057,0,35,1.54%,173,56712,495,322,42.43%,-12,2270,4,16,1.70%,3705,8,78,70,0,11.09%,242.71,244.01,0.61,12851,17514,-4663,246.12,-53,-0.51,-0.51,16.01%,15.24%
2021/10/12,250,253,247,248.5,250.1,239.45,241.13,256.04,252.54,260.65,241.13,221.6,1013,2025,1517,2,2059,2,0,1.54%,-175,56537,302,477,42.30%,26,2296,39,13,1.72%,3571,-134,38,170,2,10.68%,242.84,244.04,0.18,12734,17965,-5231,246.12,39,0.39,0.39,16.19%,15.71%
2021/10/13,251.5,254,246,253,251.8,241.8,241.93,256.11,252.68,262.01,241.93,221.84,1081,1412,1483,-106,1953,9,115,1.46%,317,56900,527,210,42.57%,8,2304,12,4,1.72%,3531,-40,46,84,2,10.56%,243.01,248.4,0.36,12747,18099,-5352,246.14,-106,-1.5,-1.5,16.60%,16.16%
2021/10/14,256,256,246.5,246.5,251.6,244.25,242.35,256.1,252.79,262.44,242.35,222.26,1422,1308,1469,162,2115,162,0,1.58%,-493,56391,391,884,42.19%,-1,2303,16,17,1.72%,3571,40,109,68,1,10.68%,244.45,248.44,0.27,12783,18088,-5305,246.53,41,0.63,0.63,16.58%,16.37%
2021/10/15,250,267,250,264,253.5,248.3,243.65,256.17,252.98,265.72,243.65,221.58,4923,1908,1878,114,2229,114,0,1.67%,766,57322,1910,1144,42.89%,130,2433,148,18,1.82%,3598,27,367,340,0,10.77%,246.22,248.49,-0.092,13316,17122,-3806,247.25,137,1.44,1.44,18.11%,17.24%
2021/10/18,260.5,262.5,256.5,258.5,254.1,251.8,244.68,256.25,253.14,267.49,244.68,221.86,1748,2037,2053,189,2418,189,0,1.81%,-320,57072,383,703,42.70%,-4,2429,37,41,1.82%,3602,4,152,148,0,10.78%,249.29,248.53,-0.14,13423,17088,-3665,248.17,361,3.54,3.54,18.65%,17.94%
2021/10/19,258.5,266,257.5,259.5,256.3,253.2,245.65,256.34,253.31,269.23,245.65,222.07,1795,2194,2110,200,2618,200,0,1.96%,-670,56348,268,938,42.16%,-24,2405,32,56,1.80%,3784,182,283,96,5,11.32%,252.01,248.53,0.82,13824,16754,-2930,249.12,559,5.1,5.1,19.20%,18.57%
2021/10/20,263,269,259.5,265.5,258.8,255.3,246.5,256.49,253.51,271.61,246.5,221.39,2374,2452,1932,86,2704,86,0,2.02%,150,56510,524,374,42.28%,121,2526,162,41,1.89%,3921,137,327,190,0,11.73%,253.5,248.53,0.64,14047,16753,-2706,249.6,751,6.12,6.12,20.37%,19.47%
2021/10/21,264.5,264.5,258,258,261.1,256.35,247.03,256.61,253.67,272.63,247.03,221.42,1830,2534,1921,66,2770,66,0,2.07%,-386,56142,183,569,42.01%,-78,2448,36,114,1.83%,3934,13,231,217,1,11.77%,254.71,248.53,0.076,12801,16738,-3937,249.87,655,5.17,5.17,20.73%,20.10%
2021/10/22,256,262,254,260,260.3,256.9,247.63,256.7,253.83,273.85,247.63,221.4,1310,1811,1860,-23,2747,1,24,2.06%,367,56517,594,227,42.29%,-19,2429,14,33,1.82%,3822,-112,85,197,0,11.44%,255.34,249.32,0.13,12719,16736,-4017,249.87,518,5.72,5.72,21.18%,20.64%
2021/10/25,260,268.5,259.5,265,261.6,257.85,248.38,256.8,254.02,275.66,248.38,221.09,2251,1912,1975,10,2757,10,0,2.06%,300,56990,701,401,42.64%,69,2498,103,34,1.87%,3682,-140,164,303,1,11.02%,255.83,249.32,-0.03,12703,16738,-4035,249.93,339,3.55,3.55,21.97%,21.31%
2021/10/26,272,276.5,265,269,263.5,259.9,249.68,256.92,254.25,278.26,249.68,221.09,4025,2358,2276,126,2883,127,1,2.16%,-328,56579,1342,1670,42.33%,-39,2459,29,68,1.84%,3696,14,259,244,1,11.06%,257.4,249.85,0.086,12776,16455,-3679,250.79,265,2.25,2.25,22.90%,22.10%
