時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超,投信持股,買進,賣出,投信持股比例,買賣超,外資持股,買進,賣出,外資持股比例,買賣超,自營商持股,買進,賣出,自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,累計買賣超,比例%,投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,245,255.5,244.5,245.5,250.3,322.35,351.9,472.82,440.57,470.4,351.9,233.4,1036,2165,1696,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.35%,59.40%
2021/9/30,245.5,248.5,228.5,236.5,246.2,306.3,344.68,472.37,440.5,472.45,344.68,216.9,3456,1675,1950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.14%,66.77%
2021/10/1,235,235,220,220,240.4,288.85,336.4,471.94,440.39,473.62,336.4,199.18,1837,1626,2034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.58%,74.17%
2021/10/4,222,223,209.5,209.5,232.5,270.15,328.63,471.42,440.25,475.74,328.63,181.51,1487,1706,2002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89.54%,81.85%
2021/10/5,209.5,221,206,219.5,226.2,252.85,320.85,470.94,440.13,473.67,320.85,168.03,1562,1876,2059,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95.26%,88.56%
2021/10/6,213,219,207,212,219.5,234.9,312.88,470.36,439.98,470.85,312.88,154.9,2418,2152,2159,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.98%,94.77%
2021/10/7,215,222,214,217,215.6,230.9,304.33,469.77,439.87,463.61,304.33,145.04,1049,1671,1673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,104.68%,99.73%
2021/10/8,217,223.5,215,221.5,215.9,228.15,296.5,469.21,439.79,455.92,296.5,137.08,890,1481,1554,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,107.53%,103.63%
2021/10/12,218,229,218,224.5,218.9,225.7,288.43,468.64,439.7,445.23,288.43,131.62,946,1373,1539,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108.73%,106.18%
2021/10/13,223,226,213,216.5,218.3,222.25,279.68,468.04,439.58,431.96,279.68,127.39,764,1213,1545,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,108.90%,107.54%
2021/10/14,225.5,238,221,231,222.1,220.8,271.58,467.33,439.52,415.92,271.58,127.23,2208,1171,1662,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,106.30%,106.92%
2021/10/15,235,239,224,226.5,224,219.8,263.05,466.52,439.45,396.48,263.05,129.62,2353,1432,1551,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,101.45%,104.19%
2021/10/18,229.5,233,222.5,232.5,226.2,221.05,254.95,465.83,439.4,374.42,254.95,135.48,857,1426,1453,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.72%,98.95%
2021/10/19,229.5,237,228.5,233,227.9,223.4,246.78,465.2,439.4,347.25,246.78,146.3,707,1378,1375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.43%,90.19%
2021/10/20,236,236.5,224.5,224.5,229.5,223.9,238.38,464.56,439.35,313.64,238.38,163.11,1464,1518,1366,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.14%,76.67%
2021/10/21,225,233.5,225,231,229.5,225.8,230.35,463.92,439.35,257.33,230.35,203.37,1238,1324,1248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.43%,50.05%
2021/10/22,236,254,235,254,235,229.5,230.2,463.4,439.42,256.61,230.2,203.79,4760,1805,1619,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.95%,36.50%
2021/10/25,268,279,264.5,279,244.3,235.25,231.7,462.92,439.6,264.78,231.7,198.62,8991,3432,2429,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.55%,32.53%
2021/10/26,291.5,306.5,291,306.5,259,243.45,234.58,462.61,439.89,280.62,234.58,188.53,6241,4539,2958,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.26%,35.89%
2021/10/27,327,335.5,313,327.5,279.6,254.55,238.4,462.38,440.26,299.51,238.4,177.29,11303,6507,4012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.27%,43.58%
