時間,開盤價,最高價,最低價,收盤價,SMA5,SMA10,SMA20,SMA200,SMA240,UB2.00,BBandMA20,LB2.00,成交量,MA5,MA10,買賣超(張),投信持股(張),買進(張),賣出(張),投信持股比例,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,投信買進均價,投信賣出均價,佔比(%),投信未平倉買口,投信未平倉賣口,投信未平倉淨口,投信成本線,近 5 期，投信買超佔成交量比重,BBand width,Band%EMA3
2021/9/29,42.8,42.8,42,42,40.7,39.84,39.61,43.51,44.49,42.18,39.61,37.04,17,29,23,0,3,0,0,0.01%,0,21999,1,1,44.41%,-1,5,0,1,0.01%,103,-6,0,6,0,0.83%,66.88,0,0.44,11987,17513,-5526,56.67,0,12.97%,11.86%
2021/9/30,41,41,41,41,41.11,40.06,39.72,43.47,44.45,42.33,39.72,37.11,1,29,20,0,3,0,0,0.01%,0,21999,0,0,44.41%,0,5,0,0,0.01%,103,0,0,0,0,0.83%,66.88,0,0.42,12194,17186,-4992,56.67,0,13.13%,12.50%
2021/10/1,39.95,40.95,39.95,40,41.31,40.17,39.77,43.43,44.4,42.36,39.77,37.17,12,30,20,0,3,0,0,0.01%,-4,21995,0,4,44.40%,0,5,0,0,0.01%,103,0,0,0,0,0.83%,66.88,0,0.41,12100,18183,-6083,56.67,0,13.05%,12.77%
2021/10/4,40.9,43.9,40.9,42.4,41.5,40.53,39.95,43.4,44.37,42.73,39.95,37.17,49,38,25,0,3,0,0,0.01%,3,21998,7,4,44.40%,0,5,0,0,0.01%,103,0,1,1,0,0.83%,66.88,0,0.18,12265,18200,-5935,56.67,0,13.92%,13.35%
2021/10/5,41.3,42.3,41.3,41.3,41.34,40.82,40.07,43.37,44.34,42.87,40.07,37.26,6,17,25,0,3,0,0,0.01%,0,21998,2,2,44.40%,0,5,0,0,0.01%,103,0,0,0,0,0.83%,66.88,0,0.8,12618,18127,-5509,56.67,0,14.01%,13.68%
2021/10/6,41.4,41.4,41,41,41.14,40.92,40.13,43.34,44.3,42.96,40.13,37.3,10,16,22,0,3,0,0,0.01%,1,21999,1,0,44.41%,0,5,0,0,0.01%,100,-3,0,3,0,0.81%,66.88,0,0.71,12642,18125,-5483,56.67,0,14.12%,13.90%
2021/10/7,43.8,43.8,40.5,40.5,41.04,41.08,40.21,43.3,44.27,42.98,40.21,37.44,47,25,27,0,3,0,0,0.01%,2,22001,2,0,44.41%,1,6,1,0,0.01%,105,5,5,0,0,0.85%,66.88,0,0.54,12949,17293,-4344,56.67,0,13.77%,13.83%
2021/10/8,40,41.4,39.7,41.4,41.32,41.32,40.35,43.27,44.23,43.07,40.35,37.62,13,25,27,0,3,0,0,0.01%,0,22001,0,0,44.41%,0,6,0,0,0.01%,105,0,0,0,0,0.85%,66.88,0,0.61,12851,17514,-4663,56.67,0,13.53%,13.68%
2021/10/12,40.85,40.85,40.7,40.7,40.98,41.24,40.44,43.24,44.19,43.08,40.44,37.8,2,16,27,0,3,0,0,0.01%,0,22001,0,0,44.41%,0,6,0,0,0.01%,104,-1,0,1,0,0.84%,66.88,0,0.18,12734,17965,-5231,56.67,0,13.05%,13.37%
2021/10/13,39.45,40,39.4,39.4,40.6,40.97,40.28,43.2,44.15,42.75,40.28,37.81,5,15,16,0,3,0,0,0.01%,0,22001,0,0,44.41%,0,6,0,0,0.01%,102,-2,0,2,0,0.82%,66.88,0,0.36,12747,18099,-5352,56.67,0,12.26%,12.81%
