股票代碼,狀態
5284,無結果
6830,無結果
2495,找到結果
1308,無結果
8215,找到結果
3167,無結果
3289,無結果
3548,找到結果
3015,找到結果
6138,找到結果
3217,無結果
3675,無結果
4162,無結果
4576,無結果
4968,找到結果
6664,無結果
3029,找到結果
6438,找到結果
6863,無結果
6182,找到結果
1712,找到結果
4979,找到結果
6937,無結果
6231,無結果
9938,找到結果
6640,無結果
3014,找到結果
6510,無結果
3013,無結果
3703,找到結果
2439,找到結果
3515,找到結果
3617,找到結果
2455,找到結果
6768,找到結果
6278,找到結果
3227,找到結果
8996,找到結果
2393,找到結果
2467,找到結果
6257,找到結果
3042,找到結果
6214,找到結果
3376,找到結果
5536,找到結果
4919,找到結果
1773,找到結果
3189,找到結果
1736,無結果
6515,找到結果
6187,找到結果
2458,找到結果
3406,找到結果
6805,找到結果
3035,找到結果
4583,無結果
6535,無結果
6781,找到結果
2404,找到結果
2049,找到結果
2915,找到結果
8299,找到結果
6890,找到結果
5483,找到結果
3665,找到結果
2354,找到結果
8464,找到結果
9904,找到結果
2347,找到結果
3036,找到結果
2059,找到結果
2834,找到結果
2610,找到結果
5274,找到結果
1519,找到結果
2324,找到結果
1590,找到結果
2105,找到結果
6409,找到結果
2356,找到結果
2376,找到結果
1402,找到結果
6488,找到結果
1326,找到結果
3037,找到結果
2379,找到結果
3293,找到結果
2609,找到結果
3034,找到結果
8069,找到結果
2345,找到結果
6669,找到結果
2357,找到結果
