時間,買賣超(張)_17,MA10_17
2021/10/19,-2218,-169.6
2021/10/20,-2831,-655.6
2021/10/21,-1879,-1044.0
2021/10/22,-2040,-1277.2
2021/10/25,-238,-1281.7
2021/10/26,-2738,-1526.8
2021/10/27,-1617,-1689.7
2021/10/28,-4516,-1956.7
2021/10/29,-2040,-2011.7
2021/11/1,-6,-2012.3
2021/11/2,0,-1790.5
2021/11/3,23,-1505.1
2021/11/4,-2628,-1580.0
2021/11/5,-500,-1426.0
2021/11/8,0,-1402.2
2021/11/9,0,-1128.4
2021/11/10,35,-963.2
2021/11/11,-2417,-753.3
2021/11/12,-512,-600.5
2021/11/15,0,-599.9
2021/11/16,-501,-650.0
2021/11/17,0,-652.3
2021/11/18,-1762,-565.7
2021/11/19,0,-515.7
2021/11/22,-250,-540.7
2021/11/23,0,-540.7
2021/11/24,-7,-544.9
2021/11/25,0,-303.2
2021/11/26,0,-252.0
2021/11/29,-1017,-353.7
2021/11/30,680,-235.6
2021/12/1,911,-144.5
2021/12/15,-157,-22.0
2021/12/16,0,-22.0
2021/12/17,0,-22.0
2021/12/20,0,-18.7
2021/12/21,0,-18.7
2021/12/22,0,-18.7
2021/12/23,0,-15.7
2021/12/24,0,-15.7
2021/12/27,0,-15.7
2021/12/28,0,-15.7
2021/12/29,-14,-1.4
2021/12/30,0,-1.4
2022/1/3,-848,-86.2
2022/1/4,0,-86.2
2022/1/5,0,-86.2
2022/1/6,953,9.1
2022/1/20,-133,-36.8
2022/4/1,-25,-2.5
2022/4/6,0,-2.5
2022/4/7,0,-2.5
2022/4/8,0,-2.5
2022/4/11,0,-2.5
2022/4/12,0,-2.5
2022/4/13,0,-2.5
2022/4/14,-138,-16.3
2022/4/15,0,-16.3
2022/4/18,0,-16.3
2022/4/19,1,-13.7
2022/4/20,60,-7.7
2022/4/21,0,-7.7
2022/4/22,0,-7.7
2022/4/25,2,-7.5
2022/4/26,1,-7.4
2022/4/27,7,-6.7
2022/5/6,-423,-41.2
2022/5/9,0,-41.2
2022/5/10,-764,-117.8
2022/5/11,-666,-184.5
2022/5/12,-705,-255.7
2022/5/13,-99,-265.6
2022/5/16,-546,-320.2
2022/5/17,-604,-380.6
2022/5/18,0,-380.6
2022/5/19,0,-380.7
2022/5/20,0,-338.4
2022/5/23,-1204,-458.8
2022/5/24,-850,-467.4
2022/5/25,-820,-482.8
2022/5/26,0,-412.3
